"FinalPrice","Day","Month","Year","ReservePrice","ProductRating"
243.48,1,"Jan",2013,110.56,1
90.85,2,"Jan",2013,35.41,2
274.75,3,"Jan",2013,128.68,5
26.94,4,"Jan",2013,4.25,5
191.41,5,"Jan",2013,85.77,3
257.29,6,"Jan",2013,119.34,4
67.19,7,"Jan",2013,24.32,3
358.89,8,"Jan",2013,170.77,5
161.27,9,"Jan",2013,70.42,1
116.65,10,"Jan",2013,50.63,5
68.88,11,"Jan",2013,25.29,4
313.32,12,"Jan",2013,148.56,3
291.21,13,"Jan",2013,137.6,5
95.42,14,"Jan",2013,38.88,2
216.53,15,"Jan",2013,100.16,5
69.9,16,"Jan",2013,26.29,5
406.99,17,"Jan",2013,195.41,4
381.58,18,"Jan",2013,183.09,3
93.34,19,"Jan",2013,39.21,3
85.66,20,"Jan",2013,35.36,3
97.09,21,"Jan",2013,39.94,1
101.13,22,"Jan",2013,42.38,1
149.14,23,"Jan",2013,67.75,3
264.77,24,"Jan",2013,125.64,3
141.92,25,"Jan",2013,62.23,1
247.38,26,"Jan",2013,116.47,4
363.3,27,"Jan",2013,174.88,4
321.02,28,"Jan",2013,153.1,3
22.59,29,"Jan",2013,2.21,1
344.38,30,"Jan",2013,165.16,5
64.22,31,"Jan",2013,23.76,1
198.15,1,"Feb",2013,88.93,2
57.53,2,"Feb",2013,18.38,5
230.16,3,"Feb",2013,104.54,2
212.35,4,"Feb",2013,94.7,1
85.95,5,"Feb",2013,32.49,2
168.3,6,"Feb",2013,74.59,3
351.09,7,"Feb",2013,166.34,3
83.65,8,"Feb",2013,31.62,1
363.41,9,"Feb",2013,172.82,2
479.91,10,"Feb",2013,230.74,2
86.43,11,"Feb",2013,35.27,5
167.19,12,"Feb",2013,75.73,5
101.32,13,"Feb",2013,42.07,2
377.34,14,"Feb",2013,180.64,5
99.58,15,"Feb",2013,41.62,5
280.03,16,"Feb",2013,132.8,5
129.68,17,"Feb",2013,56.28,1
238.27,18,"Feb",2013,109.95,3
101.58,19,"Feb",2013,42.52,2
101.94,20,"Feb",2013,42.78,2
68.47,21,"Feb",2013,27.63,4
105.07,22,"Feb",2013,45.8,5
21.93,23,"Feb",2013,1.8,1
61.63,24,"Feb",2013,23.79,4
318.48,25,"Feb",2013,151.38,5
284.9,26,"Feb",2013,135.22,4
150.72,27,"Feb",2013,68.77,4
56.02,28,"Feb",2013,19.72,1
194.96,1,"Mar",2013,86.63,2
38.52,2,"Mar",2013,9.44,2
78.53,3,"Mar",2013,29.37,3
457.51,4,"Mar",2013,217.29,1
267.05,5,"Mar",2013,125.22,5
289.84,6,"Mar",2013,134.86,2
300,7,"Mar",2013,141.43,5
20.62,8,"Mar",2013,1.54,3
111.68,9,"Mar",2013,45.72,1
220.53,10,"Mar",2013,101.8,5
262.47,11,"Mar",2013,121.92,1
228.83,12,"Mar",2013,105.22,2
297.94,13,"Mar",2013,139.65,2
68.44,14,"Mar",2013,23.66,1
204.66,15,"Mar",2013,93.73,4
459.07,16,"Mar",2013,221.84,5
200.98,17,"Mar",2013,92.59,5
301.72,18,"Mar",2013,91.07,1
262.02,19,"Mar",2013,123.42,3
64.2,20,"Mar",2013,23.68,2
103.64,21,"Mar",2013,44,3
116.8,22,"Mar",2013,50.84,4
139.55,23,"Mar",2013,63.41,5
93.79,24,"Mar",2013,39.04,4
135.49,25,"Mar",2013,61.04,2
181.8,26,"Mar",2013,82.88,1
231.05,27,"Mar",2013,108.94,5
57.4,28,"Mar",2013,20.77,3
313.89,29,"Mar",2013,150.56,5
263.7,30,"Mar",2013,124.62,2
109.29,31,"Mar",2013,47.24,3
188.34,1,"Apr",2013,82.77,1
229.36,2,"Apr",2013,104.31,3
30.73,3,"Apr",2013,5.2,4
19.26,4,"Apr",2013,0.01,1
92.31,5,"Apr",2013,36.33,5
254.99,6,"Apr",2013,118.27,2
93.57,7,"Apr",2013,38.89,5
245.56,8,"Apr",2013,114.4,5
211,9,"Apr",2013,95.53,2
42.86,10,"Apr",2013,11.16,1
312.1,11,"Apr",2013,148.2,4
173.15,12,"Apr",2013,77.61,2
259.34,13,"Apr",2013,120.1,1
284.59,14,"Apr",2013,134.38,3
228.11,15,"Apr",2013,104.55,2
73.74,16,"Apr",2013,27.29,1
24.12,17,"Apr",2013,2.96,3
424.87,18,"Apr",2013,203.27,1
119.2,19,"Apr",2013,50.1,1
73.27,20,"Apr",2013,28.17,1
248.4,21,"Apr",2013,117.9,5
280.12,22,"Apr",2013,133.06,4
62.54,23,"Apr",2013,23.16,3
203.1,24,"Apr",2013,93.61,3
129.36,25,"Apr",2013,56.5,1
76.66,26,"Apr",2013,31.67,5
227.76,27,"Apr",2013,105.61,1
75.16,28,"Apr",2013,30.32,2
281.58,29,"Apr",2013,133.41,2
101.57,30,"Apr",2013,42.57,1
425.92,1,"May",2013,201.62,1
87.07,2,"May",2013,33.48,4
171.93,3,"May",2013,75.45,2
58,4,"May",2013,19.56,3
477.94,5,"May",2013,229.91,3
163.21,6,"May",2013,71.2,1
172.39,7,"May",2013,76.38,4
42.66,8,"May",2013,12.6,5
158.08,9,"May",2013,70.69,5
166.17,10,"May",2013,72.87,4
427.02,11,"May",2013,203.41,1
272.53,12,"May",2013,128.22,4
120.35,13,"May",2013,51.62,2
193.14,14,"May",2013,87.79,2
185.51,15,"May",2013,84.05,3
198.25,16,"May",2013,89.97,2
18.91,17,"May",2013,1.65,4
127.14,18,"May",2013,55.85,5
49.36,19,"May",2013,16.18,2
93.15,20,"May",2013,39.62,5
83.13,21,"May",2013,34.13,3
234.18,22,"May",2013,109.09,2
278.59,23,"May",2013,132.37,5
344.84,24,"May",2013,164.33,2
359.97,25,"May",2013,172.58,3
94.42,26,"May",2013,38.29,1
451.76,27,"May",2013,217.99,4
339.78,28,"May",2013,162.97,2
312.42,29,"May",2013,148.75,2
90.96,30,"May",2013,36.64,1
22.16,31,"May",2013,3.34,1
81.09,1,"Jun",2013,30.55,4
45.38,2,"Jun",2013,13.09,2
272.95,3,"Jun",2013,126.57,1
294.27,4,"Jun",2013,136.99,1
207.6,5,"Jun",2013,94.09,2
49.42,6,"Jun",2013,14.92,3
136.53,7,"Jun",2013,58.8,3
81.75,8,"Jun",2013,31.32,1
74.49,9,"Jun",2013,28.63,4
202.03,10,"Jun",2013,91.94,3
264.13,11,"Jun",2013,122.63,4
39.91,12,"Jun",2013,12.44,5
276.88,13,"Jun",2013,131.26,5
180.12,14,"Jun",2013,80.83,1
156.01,15,"Jun",2013,69.61,2
36.15,16,"Jun",2013,10.91,5
99.66,17,"Jun",2013,41.9,4
509.78,18,"Jun",2013,247.05,3
41.88,19,"Jun",2013,11.6,1
62.72,20,"Jun",2013,22.29,2
397.45,21,"Jun",2013,189.65,1
198.02,22,"Jun",2013,90.76,2
39.17,23,"Jun",2013,11.76,4
306.19,24,"Jun",2013,145.12,4
98.88,25,"Jun",2013,42.31,4
287.22,26,"Jun",2013,136.72,4
159.41,27,"Jun",2013,71.73,2
157.62,28,"Jun",2013,72.26,5
15.02,29,"Jun",2013,0.58,2
373.8,30,"Jun",2013,180.21,3
248.84,1,"Jul",2013,112.92,1
81.99,2,"Jul",2013,30.54,1
62.76,3,"Jul",2013,21.98,4
62.87,4,"Jul",2013,20.93,4
146.87,5,"Jul",2013,65.07,5
34.73,6,"Jul",2013,8.77,4
271.62,7,"Jul",2013,127.22,5
156.08,8,"Jul",2013,68.74,5
395.12,9,"Jul",2013,187.22,2
68.08,10,"Jul",2013,24.5,2
155.6,11,"Jul",2013,69.47,5
350.65,12,"Jul",2013,117.5,4
145.17,13,"Jul",2013,64.11,2
181.1,14,"Jul",2013,81.14,1
205.64,15,"Jul",2013,93.88,3
62.82,16,"Jul",2013,22.76,2
154.58,17,"Jul",2013,68.29,2
83.99,18,"Jul",2013,33.05,2
249.81,19,"Jul",2013,116.81,2
283.38,20,"Jul",2013,133.18,2
148.55,21,"Jul",2013,65.21,1
179.44,22,"Jul",2013,82.03,3
265.26,23,"Jul",2013,124.79,4
400.59,24,"Jul",2013,192.66,4
65.13,25,"Jul",2013,25.23,3
112.69,26,"Jul",2013,48.75,3
36.47,27,"Jul",2013,10.16,1
120.04,28,"Jul",2013,51.99,1
242.85,29,"Jul",2013,113.79,2
564.67,30,"Jul",2013,275.47,4
260.26,31,"Jul",2013,123.29,4
253.17,1,"Aug",2013,116.33,1
