Country,From,To,Participants,Sports,Gold,Silver,Bronze,Summer
Afghanistan,1936,2008,97,7,,,1,1
Albania,1972,2008,32,7,,,,1
Algeria,1964,2008,288,17,4,2,8,1
American Samoa,1988,2008,19,8,,,,1
Andorra,1976,2008,27,8,,,,1
Angola,1980,2008,124,10,,,,1
Antigua and Barbuda,1976,2008,61,6,,,,1
Argentina,1900,2008,1474,30,17,23,26,1
Armenia,1996,2008,79,12,1,1,7,1
Aruba,1988,2008,22,9,,,,1
Australasia,1908,1912,53,8,3,4,5,1
Australia,1896,2008,3086,35,131,140,168,1
Austria,1896,2008,1407,31,25,40,41,1
Azerbaijan,1996,2008,105,12,4,3,9,1
Bahamas,1952,2008,138,8,4,2,5,1
Bahrain,1984,2008,51,7,,,,1
Bangladesh,1984,2008,27,3,,,,1
Barbados,1968,2008,102,11,,,1,1
Belarus,1996,2008,446,24,10,20,36,1
Belgium,1900,2008,1827,35,42,55,58,1
Belize,1968,2008,46,6,,,,1
Benin,1972,2008,44,7,,,,1
Bermuda,1936,2008,110,10,,,1,1
Bhutan,1984,2008,17,1,,,,1
Bohemia,1900,1912,66,9,,1,5,1
Bolivia,1936,2008,61,15,,,,1
Bosnia and Herzegovina,1992,2008,34,10,,,,1
Botswana,1980,2008,49,4,,,,1
Brazil,1900,2008,1579,30,20,25,46,1
British Virgin Islands,1984,2008,22,2,,,,1
Brunei,1996,2004,3,2,,,,1
Bulgaria,1924,2008,1242,28,51,84,77,1
Burkina Faso,1972,2008,24,5,,,,1
Burundi,1996,2008,16,2,1,,,1
Cambodia,1964,2008,34,6,,,,1
Cameroon,1964,2008,180,10,3,1,1,1
Canada,1900,2008,3149,38,59,96,108,1
Cape Verde,1996,2008,6,3,,,,1
Cayman Islands,1976,2008,34,4,,,,1
Central African Republic,1968,2008,42,7,,,,1
Chad,1964,2008,24,3,,,,1
Chile,1912,2008,427,22,2,7,4,1
China,1932,2008,1862,35,163,117,105,1
Chinese Taipei,1956,2008,460,23,2,6,11,1
Colombia,1932,2008,450,21,1,3,7,1
Comoros,1996,2008,10,3,,,,1
Congo (Brazzaville),1964,2008,61,7,,,,1
Congo (Kinshasa),1968,2008,61,7,,,,1
Cook Islands,1988,2008,16,5,,,,1
Costa Rica,1936,2008,135,15,1,1,2,1
Cote d'Ivoire,1964,2008,108,10,,1,,1
Crete,1906,1906,8,2,,,,1
Croatia,1992,2008,268,19,3,6,8,1
Cuba,1900,2008,1142,29,66,62,60,1
Cyprus,1980,2008,92,11,,,,1
Czech Republic,1996,2008,356,27,10,12,11,1
Czechoslovakia,1920,1992,1619,30,49,50,47,1
Denmark,1896,2008,1718,29,44,69,71,1
Djibouti,1984,2008,18,3,,,1,1
Dominica,1996,2008,13,2,,,,1
Dominican Republic,1964,2008,164,15,2,1,1,1
East Germany,1968,1988,1129,21,153,129,127,1
Ecuador,1924,2008,109,15,1,1,,1
Egypt,1906,2008,830,28,7,6,9,1
El Salvador,1932,2008,111,14,,,,1
Equatorial Guinea,1984,2008,24,3,,,,1
Eritrea,2000,2008,12,1,,,1,1
Estonia,1920,2008,218,22,9,8,14,1
Ethiopia,1956,2008,184,3,18,6,14,1
Federated States of Micronesia,2000,2008,12,3,,,,1
Fiji,1956,2008,72,9,,,,1
Finland,1906,2008,1563,27,106,85,117,1
France,1896,2008,4888,42,211,224,258,1
Gabon,1972,2008,26,4,,,,1
Gambia,1984,2008,28,3,,,,1
Georgia,1996,2008,98,16,5,2,11,1
Germany,1896,2008,3484,38,202,229,253,1
Ghana,1952,2008,226,4,,1,3,1
Great Britain,1896,2008,5069,41,216,273,257,1
Greece,1896,2008,1532,36,39,56,49,1
Grenada,1984,2008,33,3,,,,1
Guam,1988,2008,59,10,,,,1
Guatemala,1932,2008,208,19,,,,1
Guinea,1968,2008,51,7,,,,1
Guinea Bissau,1996,2008,10,2,,,,1
Guyana,1948,2008,66,5,,,1,1
Haiti,1900,2008,62,10,,1,1,1
Honduras,1968,2008,89,10,,,,1
Hong Kong,1952,2008,263,17,1,1,,1
Hungary,1896,2008,2418,32,162,147,163,1
Iceland,1908,2008,210,12,,2,2,1
Independent Olympic Participants,1992,1992,58,13,,1,2,1
India,1900,2008,730,22,9,4,7,1
Individual Olympic Athletes,2000,2000,4,3,,,,1
Indonesia,1952,2008,242,20,6,9,10,1
Iran,1900,2008,423,21,11,15,22,1
Iraq,1948,2008,167,13,,,1,1
Ireland,1924,2008,677,24,8,8,10,1
Israel,1952,2008,284,20,1,1,5,1
Italy,1896,2008,3662,35,203,168,178,1
Jamaica,1948,2008,297,12,13,26,16,1
Japan,1912,2008,2843,35,123,112,127,1
Jordan,1980,2008,48,10,,,,1
Kazakhstan,1996,2008,348,23,9,16,14,1
Kenya,1956,2008,418,14,23,28,24,1
Kiribati,2004,2008,5,2,,,,1
Kuwait,1968,2008,187,13,,,1,1
Kyrgyzstan,1996,2008,100,12,,1,2,1
Laos,1980,2008,40,5,,,,1
Latvia,1924,2008,211,19,2,11,4,1
Lebanon,1948,2008,132,12,,2,2,1
Lesotho,1972,2008,42,3,,,,1
Liberia,1956,2008,38,2,,,,1
Libya,1968,2008,59,8,,,,1
