"FinalPrice","Day","Month","Year","ReservePrice","ProductRating"
21.91,1,"Jan",2014,0.25,2
131.57,2,"Jan",2014,56.77,5
376.79,3,"Jan",2014,178.69,5
84.24,4,"Jan",2014,32.92,5
56.6,5,"Jan",2014,18.36,3
227.57,6,"Jan",2014,104.43,2
229.27,7,"Jan",2014,105.62,3
139.36,8,"Jan",2014,60.46,1
80.66,9,"Jan",2014,29.81,2
122.79,10,"Jan",2014,50.68,1
137.52,11,"Jan",2014,58.55,1
257.51,12,"Jan",2014,119.76,2
62.2,13,"Jan",2014,22.36,3
455.2,14,"Jan",2014,217.39,1
395,15,"Jan",2014,189.33,4
135.72,16,"Jan",2014,58.95,1
153.68,17,"Jan",2014,68.78,4
240.17,18,"Jan",2014,111.78,3
506,19,"Jan",2014,243.15,1
82.39,20,"Jan",2014,33.81,5
186.04,21,"Jan",2014,84.95,1
27.21,22,"Jan",2014,5.66,2
191.2,23,"Jan",2014,88.45,3
78.8,24,"Jan",2014,30.33,1
396.8,25,"Jan",2014,189.96,2
138.01,26,"Jan",2014,62.67,4
71.15,27,"Jan",2014,28.39,3
181.63,28,"Jan",2014,83.13,1
182.56,29,"Jan",2014,84.2,4
404.12,30,"Jan",2014,194.79,3
141.71,31,"Jan",2014,64.19,5
234.36,1,"Feb",2014,108.25,5
264.4,2,"Feb",2014,121.93,4
143.91,3,"Feb",2014,62.43,3
364.21,4,"Feb",2014,171.32,1
420.63,5,"Feb",2014,199.62,1
40.36,6,"Feb",2014,10.14,2
148.11,7,"Feb",2014,64.79,3
59.13,8,"Feb",2014,18.85,1
194.46,9,"Feb",2014,87.56,1
43.43,10,"Feb",2014,13.43,4
255.08,11,"Feb",2014,117.02,2
208.62,12,"Feb",2014,94.26,1
203.88,13,"Feb",2014,94.11,4
323.33,14,"Feb",2014,153.93,4
159.73,15,"Feb",2014,72.18,3
53.99,16,"Feb",2014,17.56,1
328.24,17,"Feb",2014,155.63,4
125.62,18,"Feb",2014,54.13,2
193.05,19,"Feb",2014,89.07,5
77.84,20,"Feb",2014,30.88,2
65.75,21,"Feb",2014,24.62,1
415.25,22,"Feb",2014,200.06,2
